id,x_um,y_um,r_um,diameter_um,x_mm,y_mm,r_mm,diameter_mm
1,92.07787743421561,0.2587021226399661,3.5,7.0,0.09207787743421561,0.00025870212263996614,0.0035,0.007
2,30.953788097898222,166.22190900577357,3.5,7.0,0.030953788097898224,0.16622190900577358,0.0035,0.007
3,154.07810195272845,51.24471257987496,3.5,7.0,0.15407810195272845,0.05124471257987496,0.0035,0.007
4,60.920527251934615,84.95432158356553,3.5,7.0,0.060920527251934614,0.08495432158356553,0.0035,0.007
5,113.76136393134963,138.19534798805705,3.5,7.0,0.11376136393134964,0.13819534798805705,0.0035,0.007
6,54.06662364547339,148.00118267127309,3.5,7.0,0.05406662364547339,0.14800118267127307,0.0035,0.007
7,30.676829021509366,145.44088422832348,3.5,7.0,0.030676829021509366,0.1454408842283235,0.0035,0.007
8,99.8754675674048,93.45160842526408,3.5,7.0,0.0998754675674048,0.09345160842526408,0.0035,0.007
9,74.83522704485644,167.4888541250775,3.5,7.0,0.07483522704485644,0.1674888541250775,0.0035,0.007
10,142.29431380545768,65.98581909402021,3.5,7.0,0.14229431380545768,0.06598581909402021,0.0035,0.007
11,128.5918756835912,102.22980901447417,3.5,7.0,0.1285918756835912,0.10222980901447418,0.0035,0.007
12,142.02498991636696,58.86233410634032,3.5,7.0,0.14202498991636697,0.05886233410634032,0.0035,0.007
13,174.9595774924133,93.63666822291026,3.5,7.0,0.1749595774924133,0.09363666822291027,0.0035,0.007
14,109.56856574254003,58.10783218074437,3.5,7.0,0.10956856574254004,0.05810783218074437,0.0035,0.007
15,12.476590828594405,156.84872973101588,3.5,7.0,0.012476590828594406,0.15684872973101588,0.0035,0.007
16,69.64433457861327,162.63978072590467,3.5,7.0,0.06964433457861327,0.16263978072590468,0.0035,0.007
17,57.201057596265734,67.65965851186647,3.5,7.0,0.05720105759626573,0.06765965851186646,0.0035,0.007
18,81.81125362599383,23.30857812032061,3.5,7.0,0.08181125362599383,0.02330857812032061,0.0035,0.007
19,24.83324548640794,61.234277015073225,3.5,7.0,0.02483324548640794,0.061234277015073224,0.0035,0.007
20,111.8078470253585,123.40649665319842,3.5,7.0,0.1118078470253585,0.12340649665319842,0.0035,0.007
21,128.5117061642907,23.576457194110258,3.5,7.0,0.1285117061642907,0.023576457194110258,0.0035,0.007
22,54.59071837997371,24.371458719759264,3.5,7.0,0.05459071837997371,0.024371458719759265,0.0035,0.007
23,153.19194151497092,22.758053580752602,3.5,7.0,0.15319194151497093,0.022758053580752603,0.0035,0.007
24,85.13794643266033,41.209635446703054,3.5,7.0,0.08513794643266033,0.04120963544670305,0.0035,0.007
25,148.9033539138936,151.48825840553934,3.5,7.0,0.1489033539138936,0.15148825840553934,0.0035,0.007
26,142.08281038229703,109.78291909850148,3.5,7.0,0.14208281038229703,0.10978291909850148,0.0035,0.007
27,67.15435023209598,27.310866293672753,3.5,7.0,0.06715435023209598,0.027310866293672752,0.0035,0.007
28,67.86001968391066,73.23943377343872,3.5,7.0,0.06786001968391066,0.07323943377343872,0.0035,0.007
29,104.48210457574542,38.55100039368363,3.5,7.0,0.10448210457574543,0.03855100039368363,0.0035,0.007
30,45.346370359246734,51.1611614950816,3.5,7.0,0.045346370359246733,0.0511611614950816,0.0035,0.007
31,48.758345004664214,79.14805022564298,3.5,7.0,0.048758345004664215,0.07914805022564297,0.0035,0.007
32,18.0899047192493,162.32033870496366,3.5,7.0,0.0180899047192493,0.16232033870496365,0.0035,0.007
33,5.746204562320688,159.24061826355722,3.5,7.0,0.005746204562320689,0.15924061826355723,0.0035,0.007
34,56.46104659334867,133.99356324478364,3.5,7.0,0.05646104659334867,0.13399356324478365,0.0035,0.007
35,39.052141470162205,74.57240665041252,3.5,7.0,0.039052141470162206,0.07457240665041252,0.0035,0.007
36,142.59509930718954,117.33794240766986,3.5,7.0,0.14259509930718955,0.11733794240766986,0.0035,0.007
37,78.60846186563496,37.0410691304903,3.5,7.0,0.07860846186563497,0.0370410691304903,0.0035,0.007
38,122.43020028535099,27.323588091419115,3.5,7.0,0.122430200285351,0.027323588091419115,0.0035,0.007
39,101.37614617482838,132.62311041880102,3.5,7.0,0.10137614617482837,0.132623110418801,0.0035,0.007
40,11.465501170540115,75.36843343113028,3.5,7.0,0.011465501170540114,0.07536843343113028,0.0035,0.007
41,143.87223424441467,90.16370498592894,3.5,7.0,0.14387223424441467,0.09016370498592895,0.0035,0.007
42,26.46570089740683,154.04134909931724,3.5,7.0,0.02646570089740683,0.15404134909931724,0.0035,0.007
43,109.60584942871128,13.446922644934327,3.5,7.0,0.10960584942871128,0.013446922644934326,0.0035,0.007
44,95.1160559942491,21.28136612002335,3.5,7.0,0.09511605599424909,0.02128136612002335,0.0035,0.007
45,87.30944119029624,72.83668579227201,3.5,7.0,0.08730944119029624,0.07283668579227201,0.0035,0.007
46,51.05956824705308,12.532965287447542,3.5,7.0,0.05105956824705308,0.012532965287447542,0.0035,0.007
47,97.890131318598,27.891250467983966,3.5,7.0,0.097890131318598,0.027891250467983967,0.0035,0.007
48,129.53639756143102,90.20148441534943,3.5,7.0,0.129536397561431,0.09020148441534942,0.0035,0.007
49,33.82706326023181,139.04928267652178,3.5,7.0,0.03382706326023181,0.13904928267652178,0.0035,0.007
50,52.9882817226067,73.41016531136965,3.5,7.0,0.0529882817226067,0.07341016531136965,0.0035,0.007
51,156.01568491430874,163.82251011372205,3.5,7.0,0.15601568491430873,0.16382251011372204,0.0035,0.007
52,93.65736941646887,168.15138140977047,3.5,7.0,0.09365736941646886,0.16815138140977046,0.0035,0.007
53,60.85767613503146,145.92181711321538,3.5,7.0,0.060857676135031465,0.1459218171132154,0.0035,0.007
54,69.33091493521822,54.692413619401286,3.5,7.0,0.06933091493521822,0.05469241361940129,0.0035,0.007
55,100.77157657786776,85.0807869907796,3.5,7.0,0.10077157657786776,0.0850807869907796,0.0035,0.007
56,34.81855603963279,80.30298612899804,3.5,7.0,0.03481855603963279,0.08030298612899804,0.0035,0.007
57,83.26689786184463,158.4036717265687,3.5,7.0,0.08326689786184463,0.1584036717265687,0.0035,0.007
58,55.993685425249,166.73303638036626,3.5,7.0,0.055993685425249,0.16673303638036627,0.0035,0.007
59,166.8011038385019,145.34633200839465,3.5,7.0,0.16680110383850189,0.14534633200839464,0.0035,0.007
60,130.68120151799442,74.23036327555079,3.5,7.0,0.13068120151799442,0.07423036327555078,0.0035,0.007
61,91.70256326887403,38.41524343732788,3.5,7.0,0.09170256326887403,0.038415243437327884,0.0035,0.007
62,54.73975862241783,140.89281567232788,3.5,7.0,0.05473975862241783,0.1408928156723279,0.0035,0.007
63,172.64946224947337,54.394495842579175,3.5,7.0,0.17264946224947336,0.054394495842579174,0.0035,0.007
64,17.287655940190135,14.191609824719615,3.5,7.0,0.017287655940190133,0.014191609824719615,0.0035,0.007
65,40.44002147070071,174.43981833643414,3.5,7.0,0.04044002147070071,0.17443981833643415,0.0035,0.007
66,37.93662374637944,167.7472075644916,3.5,7.0,0.03793662374637944,0.1677472075644916,0.0035,0.007
67,16.464107321318444,51.794987676229056,3.5,7.0,0.016464107321318443,0.05179498767622905,0.0035,0.007
68,169.13277005039419,89.51883914904425,3.5,7.0,0.16913277005039418,0.08951883914904425,0.0035,0.007
69,105.56036449173413,97.74966158826139,3.5,7.0,0.10556036449173413,0.09774966158826139,0.0035,0.007
70,169.516178098095,167.672302943487,3.5,7.0,0.169516178098095,0.167672302943487,0.0035,0.007
71,12.880637649396705,142.73850754326853,3.5,7.0,0.012880637649396705,0.14273850754326853,0.0035,0.007
72,73.94802578229303,25.24250024436715,3.5,7.0,0.07394802578229304,0.02524250024436715,0.0035,0.007
73,148.11833444837825,55.14520608537361,3.5,7.0,0.14811833444837824,0.055145206085373606,0.0035,0.007
74,124.74696880801383,129.273022016136,3.5,7.0,0.12474696880801384,0.129273022016136,0.0035,0.007
75,3.406267064094237,29.578519743148632,3.5,7.0,0.003406267064094237,0.029578519743148634,0.0035,0.007
76,65.52954696514477,34.23837987200211,3.5,7.0,0.06552954696514478,0.034238379872002116,0.0035,0.007
77,45.898618353015664,72.61243454843722,3.5,7.0,0.04589861835301566,0.07261243454843722,0.0035,0.007
78,100.53851968167628,16.62199726994112,3.5,7.0,0.10053851968167628,0.016621997269941118,0.0035,0.007
79,97.96586661653419,35.06179189773343,3.5,7.0,0.09796586661653418,0.03506179189773343,0.0035,0.007
80,113.22720579248008,87.19449987134652,3.5,7.0,0.11322720579248008,0.08719449987134652,0.0035,0.007
81,123.20569906857602,56.14454583899591,3.5,7.0,0.12320569906857602,0.05614454583899591,0.0035,0.007
