id,parent_id,is_periodic_copy,shift_x_um,shift_y_um,x_um,y_um,r_um,diameter_um,x_mm,y_mm,r_mm,diameter_mm
1,1,False,0.0,0.0,15.179822911702999,0.6218666996920822,3.374290087687473,6.748580175374946,0.015179822911702999,0.0006218666996920822,0.003374290087687473,0.006748580175374946
2,1,True,0.0,100.0,15.179822911702999,100.62186669969208,3.374290087687473,6.748580175374946,0.015179822911702999,0.10062186669969207,0.003374290087687473,0.006748580175374946
3,2,False,0.0,0.0,36.39828665445734,28.224841938583353,3.5381305484408165,7.076261096881633,0.03639828665445734,0.028224841938583354,0.0035381305484408166,0.007076261096881633
4,3,False,0.0,0.0,39.85499090303129,69.16108172010664,3.199432273588548,6.398864547177096,0.039854990903031295,0.06916108172010664,0.003199432273588548,0.006398864547177096
5,4,False,0.0,0.0,84.31677543424996,47.093431935887615,3.721229816052228,7.442459632104456,0.08431677543424997,0.047093431935887616,0.0037212298160522283,0.007442459632104457
6,5,False,0.0,0.0,91.50441877237876,25.207954715802746,3.601169716437122,7.202339432874244,0.09150441877237876,0.025207954715802745,0.0036011697164371223,0.007202339432874245
7,6,False,0.0,0.0,40.21893426913997,91.18434816923086,3.453710473592731,6.907420947185462,0.04021893426913997,0.09118434816923086,0.003453710473592731,0.006907420947185462
8,7,False,0.0,0.0,55.442000427891664,37.36976592188829,3.4505560314818573,6.901112062963715,0.055442000427891665,0.03736976592188829,0.0034505560314818575,0.006901112062963715
9,8,False,0.0,0.0,12.422461983175088,55.20120725223578,3.5481579057929418,7.0963158115858835,0.012422461983175087,0.05520120725223578,0.0035481579057929417,0.007096315811585883
10,9,False,0.0,0.0,20.932081653214915,96.4992412966285,3.457575842100612,6.915151684201224,0.020932081653214914,0.0964992412966285,0.0034575758421006124,0.006915151684201225
11,10,False,0.0,0.0,15.37043886304589,22.46003161721682,3.4641934455056305,6.928386891011261,0.01537043886304589,0.02246003161721682,0.0034641934455056306,0.006928386891011261
12,11,False,0.0,0.0,64.26075448246795,85.76230966144495,3.6141307494714443,7.228261498942889,0.06426075448246794,0.08576230966144495,0.0036141307494714442,0.0072282614989428885
13,12,False,0.0,0.0,88.58137298905518,32.77913730575376,3.5815807751151425,7.163161550230285,0.08858137298905518,0.032779137305753756,0.0035815807751151427,0.007163161550230285
14,13,False,0.0,0.0,6.46558420967882,40.826553087346014,3.489835722201982,6.979671444403964,0.00646558420967882,0.040826553087346014,0.003489835722201982,0.006979671444403964
15,14,False,0.0,0.0,8.389759477503214,3.4176739883457206,3.486451964735041,6.972903929470082,0.008389759477503214,0.0034176739883457203,0.0034864519647350408,0.0069729039294700815
16,14,True,0.0,100.0,8.389759477503214,103.41767398834573,3.486451964735041,6.972903929470082,0.008389759477503214,0.10341767398834573,0.0034864519647350408,0.0069729039294700815
17,15,False,0.0,0.0,0.9235588793882283,81.09247644146097,3.5255052371425046,7.051010474285009,0.0009235588793882284,0.08109247644146098,0.003525505237142505,0.00705101047428501
18,15,True,100.0,0.0,100.92355887938822,81.09247644146097,3.5255052371425046,7.051010474285009,0.10092355887938823,0.08109247644146098,0.003525505237142505,0.00705101047428501
19,16,False,0.0,0.0,61.96868637394418,42.522946987967174,3.4026780844687536,6.805356168937507,0.06196868637394418,0.04252294698796717,0.0034026780844687537,0.0068053561689375075
20,17,False,0.0,0.0,48.92689159554591,58.39853506120939,3.4360055830519802,6.8720111661039605,0.04892689159554591,0.058398535061209386,0.00343600558305198,0.00687201116610396
