id,parent_id,is_periodic_copy,shift_x_um,shift_y_um,x_um,y_um,r_um,diameter_um,x_mm,y_mm,r_mm,diameter_mm
1,1,False,0.0,0.0,151.9206264107084,104.36400704556723,3.5,7.0,0.1519206264107084,0.10436400704556724,0.0035,0.007
2,2,False,0.0,0.0,113.94295390666059,87.82866216551548,3.5,7.0,0.1139429539066606,0.08782866216551548,0.0035,0.007
3,3,False,0.0,0.0,67.98053070889262,137.07229757481178,3.5,7.0,0.06798053070889262,0.1370722975748118,0.0035,0.007
4,4,False,0.0,0.0,139.57402282173757,89.31906900952518,3.5,7.0,0.13957402282173756,0.08931906900952517,0.0035,0.007
5,5,False,0.0,0.0,135.016552652562,168.3521362210234,3.5,7.0,0.13501655265256202,0.16835213622102338,0.0035,0.007
6,6,False,0.0,0.0,61.59325676455147,40.77402368349359,3.5,7.0,0.06159325676455147,0.04077402368349359,0.0035,0.007
7,7,False,0.0,0.0,42.85720713793757,62.98671177039895,3.5,7.0,0.04285720713793757,0.06298671177039895,0.0035,0.007
8,8,False,0.0,0.0,133.17053543580613,92.79440765193789,3.5,7.0,0.13317053543580612,0.09279440765193789,0.0035,0.007
9,9,False,0.0,0.0,173.21662625563593,23.352727985807565,3.5,7.0,0.17321662625563594,0.023352727985807564,0.0035,0.007
10,9,True,-175.0,0.0,-1.78337374436407,23.352727985807565,3.5,7.0,-0.00178337374436407,0.023352727985807564,0.0035,0.007
11,10,False,0.0,0.0,120.88325089387763,142.22927027157786,3.5,7.0,0.12088325089387764,0.14222927027157786,0.0035,0.007
12,11,False,0.0,0.0,42.17723594474469,160.59582687044463,3.5,7.0,0.042177235944744686,0.16059582687044463,0.0035,0.007
13,12,False,0.0,0.0,111.47926498545006,173.37118800598003,3.5,7.0,0.11147926498545006,0.17337118800598003,0.0035,0.007
14,12,True,0.0,-175.0,111.47926498545006,-1.6288119940199692,3.5,7.0,0.11147926498545006,-0.0016288119940199692,0.0035,0.007
15,13,False,0.0,0.0,94.27375734529396,90.07115691352718,3.5,7.0,0.09427375734529396,0.09007115691352717,0.0035,0.007
16,14,False,0.0,0.0,132.31238626715933,0.1595892110779052,3.5,7.0,0.13231238626715933,0.0001595892110779052,0.0035,0.007
17,14,True,0.0,175.0,132.31238626715933,175.1595892110779,3.5,7.0,0.13231238626715933,0.1751595892110779,0.0035,0.007
18,15,False,0.0,0.0,55.06778109305466,169.06171931564373,3.5,7.0,0.055067781093054664,0.16906171931564373,0.0035,0.007
